dataset,accession
GlobalA,EPI_ISL_455451
GlobalA,EPI_ISL_455453
GlobalA,EPI_ISL_413647
GlobalA,EPI_ISL_413648
GlobalA,EPI_ISL_419386
GlobalA,EPI_ISL_419387
GlobalA,EPI_ISL_453859
GlobalA,EPI_ISL_453867
GlobalA,EPI_ISL_454239
GlobalA,EPI_ISL_434541
GlobalA,EPI_ISL_434550
GlobalA,EPI_ISL_434543
GlobalA,EPI_ISL_434545
GlobalA,EPI_ISL_434546
GlobalA,EPI_ISL_434549
GlobalA,EPI_ISL_427404
GlobalA,EPI_ISL_427409
GlobalA,EPI_ISL_427410
GlobalA,EPI_ISL_427412
GlobalA,EPI_ISL_427414
GlobalA,EPI_ISL_427415
GlobalA,EPI_ISL_427419
GlobalA,EPI_ISL_428924
GlobalA,EPI_ISL_428882
GlobalA,EPI_ISL_428877
GlobalA,EPI_ISL_428887
GlobalA,EPI_ISL_428905
GlobalA,EPI_ISL_415710
GlobalA,EPI_ISL_428883
GlobalA,EPI_ISL_437469
GlobalA,EPI_ISL_437471
GlobalA,EPI_ISL_437473
GlobalA,EPI_ISL_437491
GlobalA,EPI_ISL_437492
GlobalA,EPI_ISL_437495
GlobalA,EPI_ISL_437481
GlobalA,EPI_ISL_418206
GlobalA,EPI_ISL_418207
GlobalA,EPI_ISL_418211
GlobalA,EPI_ISL_418212
GlobalA,EPI_ISL_418216
GlobalA,EPI_ISL_420072
GlobalA,EPI_ISL_420076
GlobalA,EPI_ISL_420077
GlobalA,EPI_ISL_451323
GlobalA,EPI_ISL_451330
GlobalA,EPI_ISL_451336
GlobalA,EPI_ISL_451339
GlobalA,EPI_ISL_451347
GlobalA,EPI_ISL_451355
GlobalA,EPI_ISL_451361
GlobalA,EPI_ISL_451363
GlobalA,EPI_ISL_406973
GlobalA,EPI_ISL_414378
GlobalA,EPI_ISL_418995
GlobalA,EPI_ISL_414379
GlobalA,EPI_ISL_443223
GlobalA,EPI_ISL_414380
GlobalA,EPI_ISL_418998
GlobalA,EPI_ISL_418996
GlobalA,EPI_ISL_418997
GlobalA,EPI_ISL_418999
GlobalA,EPI_ISL_419001
GlobalA,EPI_ISL_407987
GlobalA,EPI_ISL_418993
GlobalA,EPI_ISL_420099
GlobalA,EPI_ISL_420107
GlobalA,EPI_ISL_418994
GlobalA,EPI_ISL_428822
GlobalA,EPI_ISL_428831
GlobalA,EPI_ISL_410713
GlobalA,EPI_ISL_435700
GlobalA,EPI_ISL_417877
GlobalA,EPI_ISL_417878
GlobalA,EPI_ISL_417879
GlobalA,EPI_ISL_417880
GlobalA,EPI_ISL_420295
GlobalA,EPI_ISL_420294
GlobalA,EPI_ISL_420541
GlobalA,EPI_ISL_426379
GlobalA,EPI_ISL_455636
GlobalA,EPI_ISL_436684
GlobalA,EPI_ISL_421573
GlobalA,EPI_ISL_430297
GlobalA,EPI_ISL_450297
GlobalA,EPI_ISL_450299
GlobalA,EPI_ISL_407193
GlobalA,EPI_ISL_412869
GlobalA,EPI_ISL_412870
GlobalA,EPI_ISL_412871
GlobalA,EPI_ISL_413018
GlobalA,EPI_ISL_411929
GlobalA,EPI_ISL_455314
GlobalA,EPI_ISL_452772
GlobalA,EPI_ISL_452692
GlobalA,EPI_ISL_452602
GlobalA,EPI_ISL_452530
GlobalA,EPI_ISL_452497
GlobalA,EPI_ISL_455326
GlobalA,EPI_ISL_430719
GlobalA,EPI_ISL_436203
GlobalA,EPI_ISL_436260
GlobalA,EPI_ISL_436361
GlobalA,EPI_ISL_447505
GlobalA,EPI_ISL_416485
GlobalA,EPI_ISL_428670
GlobalA,EPI_ISL_428673
GlobalA,EPI_ISL_428671
GlobalA,EPI_ISL_428672
GlobalA,EPI_ISL_411951
GlobalA,EPI_ISL_430847
GlobalA,EPI_ISL_452229
GlobalA,EPI_ISL_452231
GlobalA,EPI_ISL_454446
GlobalA,EPI_ISL_429121
GlobalA,EPI_ISL_429129
GlobalA,EPI_ISL_455874
GlobalA,EPI_ISL_429160
GlobalA,EPI_ISL_451671
GlobalA,EPI_ISL_451679
GlobalA,EPI_ISL_451683
GlobalA,EPI_ISL_451700
GlobalA,EPI_ISL_451762
GlobalA,EPI_ISL_451785
GlobalA,EPI_ISL_451827
GlobalA,EPI_ISL_418273
GlobalA,EPI_ISL_418274
GlobalA,EPI_ISL_413999
GlobalA,EPI_ISL_415456
GlobalA,EPI_ISL_415454
GlobalA,EPI_ISL_413997
GlobalA,EPI_ISL_415698
GlobalA,EPI_ISL_444275
GlobalA,EPI_ISL_403963
GlobalA,EPI_ISL_458025
GlobalA,EPI_ISL_455912
GlobalA,EPI_ISL_455917
GlobalA,EPI_ISL_455919
GlobalA,EPI_ISL_455921
GlobalA,EPI_ISL_455924
GlobalA,EPI_ISL_450196
GlobalA,EPI_ISL_447920
GlobalA,EPI_ISL_447912
GlobalA,EPI_ISL_447915
GlobalA,EPI_ISL_447918
GlobalA,EPI_ISL_434692
GlobalA,EPI_ISL_434694
GlobalA,EPI_ISL_455605
GlobalA,EPI_ISL_437622
GlobalA,EPI_ISL_437624
GlobalA,EPI_ISL_437617
